sc,range,season,tm_tr,tm,w_win,l_win,t_win,mov_win,w_ats,l_ats,t_ats,ats_ats,w_ou,l_ou,t_ou,total_ou
is_after_win,2017,2017,Kansas City,KCY,7,3,0,5.6,7,3,0,2.2,4,6,0,0.4
is_after_win,2017,2017,LA Chargers,LAC,6,2,0,8.1,5,3,0,6.1,0,8,0,-11.2
is_after_win,2017,2017,LA Rams,LAR,6,5,0,5.4,5,6,0,2.9,7,4,0,2.6
is_after_win,2017,2017,Miami,MIA,3,3,0,-8.2,2,3,1,-4.4,3,3,0,-0.9
is_after_win,2017,2017,Minnesota,MIN,10,4,0,3.4,8,6,0,0.3,7,7,0,-3
is_after_win,2017,2017,New Orleans,NOR,8,4,0,8.3,8,4,0,5,5,7,0,-2.3
is_after_win,2017,2017,New England,NWE,12,3,0,11.3,9,6,0,1.8,7,8,0,-0.9
is_after_win,2017,2017,NY Giants,NYG,0,2,0,-13.5,0,2,0,-8,0,2,0,-11
is_after_win,2017,2017,NY Jets,NYJ,2,3,0,-5.8,3,2,0,-3.5,1,4,0,-10.1
is_after_win,2017,2017,Oakland,OAK,2,4,0,-6.8,1,5,0,-9.2,2,4,0,-3
is_after_win,2017,2017,Philadelphia,PHI,12,3,0,11.8,10,5,0,8.3,8,7,0,1.6
is_after_win,2017,2017,Pittsburgh,PIT,9,4,0,3.2,4,9,0,-3.1,7,6,0,7.1
is_after_win,2017,2017,Seattle,SEA,4,5,0,2.2,3,6,0,0.6,5,4,0,4.6
is_after_win,2017,2017,San Francisco,SFO,4,1,0,6.6,3,2,0,7.3,3,2,0,5.7
is_after_win,2017,2017,Tampa Bay,TBY,1,3,0,-6.5,1,3,0,-3.2,3,1,0,0.4
is_after_win,2017,2017,Tennessee,TEN,6,4,0,-6.4,3,6,1,-6.2,6,4,0,1.4
is_after_win,2017,2017,Washington,WAS,2,5,0,-3.7,2,5,0,-2.7,4,3,0,1.4
is_away,2016,2016,Arizona,ARI,3,5,0,0,3,5,0,-0.1,8,0,0,9.9
is_away,2016,2016,Atlanta,ATL,6,2,0,9.5,7,1,0,10.4,5,2,1,7.8
is_away,2016,2016,Baltimore,BAL,2,6,0,-5.4,2,6,0,-3.5,4,4,0,2.1
is_away,2016,2016,Buffalo,BUF,3,5,0,-2.2,3,5,0,-1.1,4,4,0,-4
is_away,2016,2016,Carolina,CAR,2,6,0,-5.2,3,4,1,-3.9,5,3,0,4.8
is_away,2016,2016,Chicago,CHI,0,8,0,-13.5,2,6,0,-8.3,4,4,0,-1.5
is_away,2016,2016,Cincinnati,CIN,2,6,0,-4.2,3,5,0,-2.9,2,6,0,-6.4
is_away,2016,2016,Cleveland,CLE,0,8,0,-12,3,5,0,-4.2,6,2,0,3.2
is_away,2016,2016,Dallas,DAL,6,2,0,5,5,3,0,5.5,2,6,0,-3.7
is_away,2016,2016,Denver,DEN,4,4,0,0,4,4,0,0.4,3,5,0,-4.5
is_away,2016,2016,Detroit,DET,3,6,0,-4.9,3,6,0,-0.9,3,6,0,-3
is_away,2016,2016,Green Bay,GBY,5,5,0,-3.6,5,5,0,-3,8,2,0,8
is_away,2016,2016,Houston,HOU,2,6,0,-11,2,6,0,-4.8,3,5,0,-2.6
is_away,2016,2016,Indianapolis,IND,4,3,0,6.7,4,2,1,11,6,1,0,4.1
is_away,2016,2016,Jacksonville,JAX,1,7,0,-7.6,5,3,0,-2.8,4,4,0,-0.4
is_away,2016,2016,Kansas City,KCY,6,2,0,1.6,6,2,0,2.1,4,4,0,2.2
is_away,2016,2016,LA Chargers,LAC,2,6,0,-3.1,4,4,0,-1.4,4,4,0,1.9
is_away,2016,2016,LA Rams,LAR,3,5,0,-10.5,3,5,0,-4.5,3,5,0,-0.7
is_away,2016,2016,Miami,MIA,4,5,0,-4.3,5,4,0,0.7,5,4,0,-1.1
is_away,2016,2016,Minnesota,MIN,3,5,0,-1.6,3,5,0,-1.1,4,4,0,-1.9
is_away,2016,2016,New Orleans,NOR,3,5,0,0.4,6,1,1,3.4,4,4,0,1.9
is_away,2016,2016,New England,NWE,8,0,0,12.6,7,1,0,7.2,2,6,0,-3.2
is_away,2016,2016,NY Giants,NYG,3,5,0,-4.6,3,4,1,-1.2,2,6,0,-7.4
is_away,2016,2016,NY Jets,NYJ,3,5,0,-11.4,3,5,0,-6.1,3,5,0,0.5
is_away,2016,2016,Oakland,OAK,6,3,0,-0.4,6,3,0,1.1,5,4,0,-1.9
is_away,2016,2016,Philadelphia,PHI,1,7,0,-4.2,2,6,0,-2,7,1,0,4.3
is_away,2016,2016,Pittsburgh,PIT,6,4,0,-0.1,6,4,0,-3,3,7,0,-5.5
is_away,2016,2016,Seattle,SEA,3,5,1,-5,3,6,0,-6.2,5,4,0,-7.8
is_away,2016,2016,San Francisco,SFO,1,7,0,-15.5,2,5,1,-6.8,6,2,0,7.4
is_away,2016,2016,Tampa Bay,TBY,5,3,0,-1.2,6,2,0,3.4,3,4,1,-1.5
is_away,2016,2016,Tennessee,TEN,4,4,0,-2.6,3,5,0,-0.8,5,3,0,2.6
is_away,2016,2016,Washington,WAS,4,3,0,2.4,5,2,0,3.8,5,2,0,0.1
is_away,2017,2017,Arizona,ARI,3,4,0,-5.6,2,5,0,-4.4,3,4,0,0.4
is_away,2017,2017,Atlanta,ATL,6,4,0,0,3,7,0,-1.4,3,7,0,-5.8
is_away,2017,2017,Baltimore,BAL,4,3,0,8.7,5,1,1,10.2,4,3,0,0.4
is_away,2017,2017,Buffalo,BUF,3,6,0,-7,5,4,0,-1.8,3,6,0,-4.2
is_away,2017,2017,Carolina,CAR,5,4,0,0.8,6,3,0,2.7,5,4,0,-1.9
is_away,2017,2017,Chicago,CHI,2,6,0,-9.1,3,5,0,-0.9,2,6,0,-4.3
is_away,2017,2017,Cincinnati,CIN,3,5,0,-4.2,5,3,0,0.9,4,4,0,1.8
is_away,2017,2017,Cleveland,CLE,0,8,0,-11.4,2,6,0,-4.1,5,3,0,3.2
is_away,2017,2017,Dallas,DAL,6,2,0,4.9,5,2,1,2.1,3,5,0,-5
is_away,2017,2017,Denver,DEN,1,7,0,-13.2,1,7,0,-11.8,4,4,0,1.8
is_away,2017,2017,Detroit,DET,5,3,0,-0.9,4,3,1,-0.2,4,4,0,5.2
is_away,2017,2017,Green Bay,GBY,3,5,0,-5.1,4,4,0,-1.4,7,1,0,5.1
is_away,2017,2017,Houston,HOU,1,7,0,-11.6,4,4,0,-3.2,3,5,0,4.8
is_away,2017,2017,Indianapolis,IND,1,7,0,-13.4,3,5,0,-5,4,4,0,2.6
is_away,2017,2017,Jacksonville,JAX,5,5,0,5.9,6,4,0,6.5,4,6,0,5.2
is_away,2017,2017,Kansas City,KCY,4,4,0,2.2,4,4,0,1.2,5,3,0,7.6
is_away,2017,2017,LA Chargers,LAC,4,4,0,0.5,4,3,1,2.1,2,6,0,-8.1
is_away,2017,2017,LA Rams,LAR,7,1,0,11.1,5,3,0,9.2,7,1,0,9.6
is_away,2017,2017,Miami,MIA,2,6,0,-14.4,2,6,0,-7.6,4,4,0,-0.6
is_away,2017,2017,Minnesota,MIN,5,3,0,-2,4,4,0,-3.3,4,4,0,-1.2
is_away,2017,2017,New Orleans,NOR,3,5,0,4.5,4,4,0,5.4,5,3,0,-0.4
is_away,2017,2017,New England,NWE,6,1,0,9.9,5,2,0,3.4,2,5,0,-5.9
is_away,2017,2017,NY Giants,NYG,1,7,0,-7.2,4,4,0,-1.8,3,5,0,-5
is_away,2017,2017,NY Jets,NYJ,1,7,0,-11.8,2,5,1,-4.8,3,5,0,-3.1
is_away,2017,2017,Oakland,OAK,2,6,0,-8.8,2,5,1,-5.9,2,6,0,-7.8
is_away,2017,2017,Philadelphia,PHI,6,2,0,5,5,3,0,3.9,5,3,0,5.7
is_away,2017,2017,Pittsburgh,PIT,7,1,0,7.4,4,4,0,2,1,7,0,-7.1
is_away,2017,2017,Seattle,SEA,5,3,0,3.6,4,3,1,3.2,2,6,0,-5.7
is_away,2017,2017,San Francisco,SFO,3,5,0,-0.2,6,2,0,4.9,3,5,0,-4.7
is_away,2017,2017,Tampa Bay,TBY,1,7,0,-7.2,2,5,1,-3.5,6,2,0,4.9
is_away,2017,2017,Tennessee,TEN,4,6,0,-7.1,4,6,0,-5.4,5,5,0,-1.6
is_away,2017,2017,Washington,WAS,2,6,0,-7.6,3,5,0,-3.6,5,3,0,-0.2
is_away_dog,2016,2016,Arizona,ARI,1,3,0,-8,1,3,0,-3.8,4,0,0,12.1
is_away_dog,2016,2016,Atlanta,ATL,3,2,0,3.2,4,1,0,7,3,2,0,5.6
is_away_dog,2016,2016,Baltimore,BAL,0,5,0,-6.6,1,4,0,-1.8,3,2,0,5.2
is_away_dog,2016,2016,Buffalo,BUF,2,3,0,-1.2,2,3,0,2.3,2,3,0,-8.7
is_away_dog,2016,2016,Carolina,CAR,1,3,0,-6.5,3,1,0,-1,2,2,0,0.2
is_away_dog,2016,2016,Chicago,CHI,0,7,0,-11.7,2,5,0,-5.4,3,4,0,-1.9
is_away_dog,2016,2016,Cincinnati,CIN,1,4,0,-6.4,2,3,0,-2.8,2,3,0,-6
is_away_dog,2016,2016,Cleveland,CLE,0,8,0,-12,3,5,0,-4.2,6,2,0,3.2
