season,seasontype,wk,date,time,tm_home,tm_away,pts_away,pts_home
2007,1,3,2007-08-24,2007-08-24T00:00:00Z,GBY,JAX,21,13
2007,1,3,2007-08-24,2007-08-24T00:30:00Z,KCY,NOR,30,7
2007,1,3,2007-08-24,2007-08-24T23:00:00Z,BUF,TEN,28,17
2007,1,3,2007-08-25,2007-08-25T00:00:00Z,CAR,NWE,24,7
2007,1,3,2007-08-25,2007-08-25T23:00:00Z,IND,DET,10,37
2007,1,3,2007-08-25,2007-08-25T23:30:00Z,MIA,TBY,31,28
2007,1,3,2007-08-26,2007-08-26T00:00:00Z,CHI,SFO,28,31
2007,1,3,2007-08-26,2007-08-26T00:00:00Z,HOU,DAL,16,28
2007,1,3,2007-08-26,2007-08-26T00:00:00Z,NYG,NYJ,20,12
2007,1,3,2007-08-26,2007-08-26T00:00:00Z,WAS,BAL,7,13
2007,1,3,2007-08-26,2007-08-26T01:00:00Z,DEN,CLE,17,16
2007,1,3,2007-08-26,2007-08-26T01:00:00Z,SEA,MIN,13,30
2007,1,3,2007-08-27,2007-08-27T00:00:00Z,PIT,PHI,13,27
2007,1,3,2007-08-28,2007-08-28T00:00:00Z,ATL,CIN,19,24
2007,1,4,2007-08-30,2007-08-30T23:00:00Z,DET,BUF,16,13
2007,1,4,2007-08-30,2007-08-30T23:30:00Z,JAX,WAS,14,31
2007,1,4,2007-08-30,2007-08-30T23:30:00Z,NWE,NYG,20,27
